"Run","HasBest","Status","Evidence"
"20260516_224635__001__train_skeleton_20260516","False","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 0.9217, Val Loss: 0.8513, Surface IoU: 0.1519, Surface F1: 0.2637, Precision: 0.2188, Recall: 0.3317, Skeleton IoU: 0.0292, Ske"
"20260518_093340__002__train_skeleton_20260518_093340","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 1.0281, Val Loss: 0.9653, Surface IoU: 0.1381, Surface F1: 0.2427, Precision: 0.1830, Recall: 0.3606, Skeleton IoU: 0.0257, Ske"
"20260518_220108__003__train_skeleton_20260518_220108","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 0.9217, Val Loss: 0.8513, Surface IoU: 0.1519, Surface F1: 0.2637, Precision: 0.2188, Recall: 0.3317, Skeleton IoU: 0.0292, Ske"
"20260520_220636__004__train_skeleton_20260520_220636","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 1.0881, Val Loss: 0.9308, Surface IoU: 0.0970, Surface F1: 0.1768, Precision: 0.1339, Recall: 0.2604, Skeleton IoU: 0.0062, Ske"
"20260521_094935__005__train_skeleton_20260521_094935","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 1.1108, Val Loss: 0.9358, Surface IoU: 0.0782, Surface F1: 0.1450, Precision: 0.1453, Recall: 0.1446, Skeleton IoU: 0.0009, Ske"
"20260521_200553__006__train_skeleton_20260521_200553","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 0.9376, Val Loss: 0.8169, Surface IoU: 0.1974, Surface F1: 0.3297, Precision: 0.2671, Recall: 0.4306, Skeleton IoU: 0.0351, Ske"
"20260522_201809__007__train_skeleton_20260522_201809","True","UNCLEAR","训练配置: | Epoch 1/100, Train Loss: 1.1190, Val Loss: 1.0132, Surface IoU: 0.1306, Surface F1: 0.2311, Precision: 0.1364, Recall: 0.7549, Skeleton IoU: 0.0220, Ske"
"20260523_204609__008__train_skeleton_20260523_204609","False","UNCLEAR","训练配置: | Epoch 1/10, Train Loss: 0.7636, Val Loss: 0.6755, Surface IoU: 0.3402, Surface F1: 0.5077, Precision: 0.5223, Recall: 0.4939, Skeleton IoU: 0.0786, Skel"
"20260525_233250__009__train_skeleton_20260525_233250","True","UNCLEAR","训练配置: | Epoch 1/10, LR: 0.000166667, Train Loss: 0.9964, Val Loss: 0.9214, Surface IoU: 0.1069, Surface F1: 0.1931, Precision: 0.1633, Recall: 0.2362, Skeleton "
"20260527_220836__010__train_skeleton_20260527_220836","True","UNCLEAR","训练配置: | Epoch 1/10, LR: 0.000166667, Train Loss: 1.1107, Val Loss: 0.9577, Surface IoU: 0.0964, Surface F1: 0.1758, Precision: 0.1689, Recall: 0.1833, Skeleton "
"20260528_173032__011__train_no_pretrain_10ep_150b","True","UNCLEAR","训练配置: | Epoch 1/10, LR: 0.000166667, Train Loss: 1.1107, Val Loss: 0.9578, Surface IoU: 0.0959, Surface F1: 0.1750, Precision: 0.1692, Recall: 0.1813, Skeleton "
